Front/Back,Manufacture,Part #,URL,Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
Front,"NTE Electronics, Inc",89210,https://www.digikey.com/en/products/detail/nte-electronics-inc/89210/11647103,1,Unpolarized capacitor,C,C2 C3 C7,1nF,C_Disc_D7.5mm_W2.5mm_P5.00mm,3,~
Front,"NTE Electronics, Inc",89310,https://www.digikey.com/en/products/detail/nte-electronics-inc/89310/11647035,2,Unpolarized capacitor,C,C1 C5,10nF,C_Disc_D7.5mm_W2.5mm_P5.00mm,2,~
Front,"NTE Electronics, Inc",89410,https://www.digikey.com/en/products/detail/nte-electronics-inc/89410/11646706,3,Unpolarized capacitor,C,C4 C9 C11,100nF,C_Disc_D7.5mm_W2.5mm_P5.00mm,3,~
Front,Würth Elektronik,860020572003,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/860020572003/5728880,4,Polarized capacitor,C,C8 C10,10uF,CP_Radial_D5.0mm_P2.50mm,2,~
Front,"NTE Electronics, Inc",90150,https://www.digikey.com/en/products/detail/nte-electronics-inc/90150/11649754,5,Unpolarized capacitor,C,C6,500pF (Styrene),C_Disc_D7.5mm_W2.5mm_P5.00mm,1,~
Front,"NTE Electronics, Inc",1N4148,https://www.digikey.com/en/products/detail/nte-electronics-inc/1N4148/11645052,6,"100V 0.15A standard switching diode, DO-35",1N4148,D1 D2,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,2,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf
Back,Würth Elektronik,151051RS11000,https://www.digikey.com/en/products/detail/w-rth-elektronik/151051RS11000/4490012,7,Light emitting diode,LED,D4,LED,LED_D5.0mm,1,~
Front,ON Semiconductor,1N5240BTR,https://www.digikey.com/en/products/detail/on-semiconductor/1N5240BTR/977593,8,Zener diode,D_Zener,D3,Zener 10V,D_DO-35_SOD27_P7.62mm_Horizontal,1,~
Back,Thonk,PJ398SM,https://www.thonk.co.uk/wp-content/uploads/2014/02/Thonkiconn_Jack_Datasheet.pdf,9,"Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)",AudioJack2_SwitchT,J1 J2 J3 J4 J5 J6 J7 J8 J9 J10 J11,1V/OCT_INPUT,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,11,~
Front,Würth Elektronik,61201021621,https://www.digikey.com/en/products/detail/w-rth-elektronik/61201021621/2060590,10,Shrouded header,EURO_PWR_2x5,J12,EURO_PWR_2x5,PinHeader_2x05_P2.54mm_Vertical,1,
Front,Vishay Beyschlag/Draloric/BC Components,MBA02040C3300FCT00,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/MBA02040C3300FCT00/6138795,11,Resistor,R,R27,330R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,~
Front,Vishay Beyschlag/Draloric/BC Components,SFR25H0004700FR500,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/SFR25H0004700FR500/5066157,12,Resistor,R,R6 R16,470R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,~
Front,Vishay Beyschlag/Draloric/BC Components,MBA02040C6800FCT00,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/MBA02040C6800FCT00/6138787,13,Resistor,R,R19,680R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,~
Front,Vishay Beyschlag/Draloric/BC Components,SFR25H0001001FR500,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/SFR25H0001001FR500/5065693,14,Resistor,R,R24 R25 R26,1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,~
Front,Vishay Beyschlag/Draloric/BC Components,MBA02040C1801FC100,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/MBA02040C1801FC100/7350897,15,Resistor,R,R18,1K8,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,~
Front,Vishay Beyschlag/Draloric/BC Components,SFR25H0002001FR500,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/SFR25H0002001FR500/5065904,16,Resistor,R,R20,2K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,~
